volcanoName,eruptionCertainty,startDate,maxVEI,evidenceMethod,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Colima,1,1320 BCE,2,Radiocarbon (uncorrected),19.514,-103.62,3850,Mexico,Stratovolcano,76,746,303490,1494790
San Martin,1,1320 BCE,2,Radiocarbon (uncorrected),18.57,-95.2,1650,Mexico,Shield,280,3581,259640,1645811
Sheveluch,1,1330 BCE,3,Radiocarbon (corrected),56.653,161.36,3283,Russia,Stratovolcano,0,0,1718,11613
Longonot,1,1330 BCE,0,Radiocarbon (uncorrected),-0.914,36.446,2776,Kenya,Stratovolcano,809,17893,410677,8750154
Okataina,1,1330 BCE,1,Radiocarbon (corrected),-38.12,176.5,1111,New Zealand,Lava dome,18,579,79591,362413
"Chichon, El",1,1340 BCE,4,Radiocarbon (corrected),17.36,-93.228,1150,Mexico,Lava dome,3759,11000,143015,3570632
Bezymianny,1,1350 BCE,2,Tephrochronology,55.972,160.595,2882,Russia,Stratovolcano,0,0,47,11728
Redoubt,1,1350 BCE,3,Varve Count,60.485,-152.742,3108,United States,Stratovolcano,0,0,1,32410
Fujisan,1,1350 BCE,5,Tephrochronology,35.361,138.728,3776,Japan,Stratovolcano,570,1759,906969,25022187
Naruko,1,1350 BCE,1,Radiocarbon (corrected),38.729,140.734,470,Japan,Caldera,54771,54771,210262,4417058
Krasheninnikov,1,1350 BCE,3,Radiocarbon (corrected),54.596,160.27,1816,Russia,Caldera,308,308,814,4674
Avachinsky,1,1350 BCE,5,Radiocarbon (uncorrected),53.256,158.836,2717,Russia,Stratovolcano,0,0,180016,270205
Koshelev,1,1350 BCE,3,Radiocarbon (uncorrected),51.356,156.753,1822,Russia,Stratovolcano,0,2,855,4390
Tokachidake,1,1350 BCE,3,Radiocarbon (corrected),43.418,142.686,2077,Japan,Stratovolcano,12,227,60382,1373264
Asosan,1,1350 BCE,3,Radiocarbon (corrected),32.884,131.104,1592,Japan,Caldera,75559,75559,234591,6507519
Hekla,1,1350 BCE,3,Tephrochronology,63.983,-19.666,1490,Iceland,Stratovolcano,0,0,298,22845
Witori,1,1370 BCE,6,Radiocarbon (corrected),-5.576,150.516,724,Papua New Guinea,Caldera,24509,24509,37824,145382
Pelee,1,1390 BCE,3,Radiocarbon (corrected),14.809,-61.165,1394,France,Stratovolcano,251,5025,382633,609576
Karymsky,1,1400 BCE,2,Radiocarbon (corrected),54.049,159.443,1513,Russia,Stratovolcano,0,0,291,10848
Naruko,1,1400 BCE,1,Tephrochronology,38.729,140.734,470,Japan,Caldera,54771,54771,210262,4417058
Hakoneyama,1,1400 BCE,1,Radiocarbon (corrected),35.233,139.021,1438,Japan,Complex,14140,53755,1543563,30282197
Tenerife,1,1400 BCE,2,Tephrochronology,28.271,-16.641,3715,Spain,Stratovolcano,0,156,337660,766276
Merapi,1,1410 BCE,2,Radiocarbon (corrected),-7.54,110.446,2910,Indonesia,Stratovolcano,49205,185849,4348473,24728414
Etna,1,1420 BCE,1,Radiocarbon (corrected),37.748,14.999,3320,Italy,Stratovolcano,78,3291,1016540,3052770
Turrialba,1,1420 BCE,2,Radiocarbon (corrected),10.025,-83.767,3340,Costa Rica,Stratovolcano,1891,6867,672428,3390544
Vesuvius,1,1430 BCE,4,Radiocarbon (corrected),40.821,14.426,1281,Italy,Stratovolcano,19162,675705,3907941,6009961
Nasudake,1,1440 BCE,2,Tephrochronology,37.125,139.963,1915,Japan,Stratovolcano,639,5802,298717,5725203
Katla,1,1440 BCE,4,Radiocarbon (corrected),63.633,-19.083,1490,Iceland,Subglacial,0,0,473,11326
Arenal,1,1450 BCE,4,Tephrochronology,10.463,-84.703,1670,Costa Rica,Stratovolcano,3429,15643,96512,3027485
Akita-Komagatake,1,1450 BCE,2,Radiocarbon (corrected),39.761,140.799,1637,Japan,Stratovolcano,376,3864,216708,2521611
